Date,Location,Habitat,Depth,Interval,Code,Genus,Species,Count
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,MEFR,Mesocentrotus,franciscanus,6
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,MEFR,Mesocentrotus,franciscanus,7
2022-10-06,Turn Rock,Subcanopy,NA,10-15,MEFR,Mesocentrotus,franciscanus,10
2022-10-06,Turn Rock,Subcanopy,NA,15-20,MEFR,Mesocentrotus,franciscanus,13
2022-10-06,Turn Rock,Subcanopy,NA,20-25,MEFR,Mesocentrotus,franciscanus,6
2022-10-06,Turn Rock,Subcanopy,12.7,25-30,MEFR,Mesocentrotus,franciscanus,10
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,STDR,Strongylocentrotus,droebachiensis,32
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,STDR,Strongylocentrotus,droebachiensis,25
2022-10-06,Turn Rock,Subcanopy,NA,10-15,STDR,Strongylocentrotus,droebachiensis,23
2022-10-06,Turn Rock,Subcanopy,NA,15-20,STDR,Strongylocentrotus,droebachiensis,2
2022-10-06,Turn Rock,Subcanopy,NA,20-25,STDR,Strongylocentrotus,droebachiensis,19
2022-10-06,Turn Rock,Subcanopy,12.7,25-30,STDR,Strongylocentrotus,droebachiensis,23
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,EUQU,Eupentacta,quinquesemita,7
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,EUQU,Eupentacta,quinquesemita,4
2022-10-06,Turn Rock,Subcanopy,NA,10-15,EUQU,Eupentacta,quinquesemita,1
2022-10-06,Turn Rock,Subcanopy,NA,15-20,EUQU,Eupentacta,quinquesemita,0
2022-10-06,Turn Rock,Subcanopy,NA,20-25,EUQU,Eupentacta,quinquesemita,0
2022-10-06,Turn Rock,Subcanopy,12.7,25-30,EUQU,Eupentacta,quinquesemita,0
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,PSCH,Psolus,chitonoides,4
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,PSCH,Psolus,chitonoides,6
2022-10-06,Turn Rock,Subcanopy,NA,10-15,PSCH,Psolus,chitonoides,5
2022-10-06,Turn Rock,Subcanopy,NA,15-20,PSCH,Psolus,chitonoides,15
2022-10-06,Turn Rock,Subcanopy,NA,20-25,PSCH,Psolus,chitonoides,7
2022-10-06,Turn Rock,Subcanopy,12.7,25-30,PSCH,Psolus,chitonoides,24
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,CRST,Cryptochiton,stelleri,4
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,CRST,Cryptochiton,stelleri,2
2022-10-06,Turn Rock,Subcanopy,NA,10-15,CRST,Cryptochiton,stelleri,2
2022-10-06,Turn Rock,Subcanopy,NA,15-20,CRST,Cryptochiton,stelleri,1
2022-10-06,Turn Rock,Subcanopy,NA,20-25,CRST,Cryptochiton,stelleri,2
2022-10-06,Turn Rock,Subcanopy,12.7,25-30,CRST,Cryptochiton,stelleri,2
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,CHRU,Chlamys,rubida,1
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,CHRU,Chlamys,rubida,0
2022-10-06,Turn Rock,Subcanopy,NA,10-15,CHRU,Chlamys,rubida,3
2022-10-06,Turn Rock,Subcanopy,NA,15-20,CHRU,Chlamys,rubida,1
2022-10-06,Turn Rock,Subcanopy,NA,20-25,CHRU,Chlamys,rubida,0
2022-10-06,Turn Rock,Subcanopy,12.7,25-30,CHRU,Chlamys,rubida,1
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,TRCA,Trichotropis,cancellata,0
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,TRCA,Trichotropis,cancellata,0
2022-10-06,Turn Rock,Subcanopy,NA,10-15,TRCA,Trichotropis,cancellata,0
2022-10-06,Turn Rock,Subcanopy,NA,15-20,TRCA,Trichotropis,cancellata,0
2022-10-06,Turn Rock,Subcanopy,NA,20-25,TRCA,Trichotropis,cancellata,2
2022-10-06,Turn Rock,Subcanopy,12.7,25-30,TRCA,Trichotropis,cancellata,0
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,TOLI,Tonicella,lineata,2
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,TOLI,Tonicella,lineata,0
2022-10-06,Turn Rock,Subcanopy,NA,10-15,TOLI,Tonicella,lineata,0
2022-10-06,Turn Rock,Subcanopy,NA,15-20,TOLI,Tonicella,lineata,0
2022-10-06,Turn Rock,Subcanopy,NA,20-25,TOLI,Tonicella,lineata,0
2022-10-06,Turn Rock,Subcanopy,12.7,25-30,TOLI,Tonicella,lineata,2
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,ACMI,Acmaea,mitra,2
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,ACMI,Acmaea,mitra,0
2022-10-06,Turn Rock,Subcanopy,NA,10-15,ACMI,Acmaea,mitra,1
2022-10-06,Turn Rock,Subcanopy,NA,15-20,ACMI,Acmaea,mitra,0
2022-10-06,Turn Rock,Subcanopy,NA,20-25,ACMI,Acmaea,mitra,0
2022-10-06,Turn Rock,Subcanopy,12.7,25-30,ACMI,Acmaea,mitra,0
2022-10-06,Turn Rock,Subcanopy,12.3,0-5,MOSP,Mopalia,sp.,0
2022-10-06,Turn Rock,Subcanopy,12.2,5-10,MOSP,Mopalia,sp.,0
2022-10-06,Turn Rock,Subcanopy,NA,10-15,MOSP,Mopalia,sp.,0
2022-10-06,Turn Rock,Subcanopy,NA,15-20,MOSP,Mopalia,sp.,0
