surveyID,Mesocentrotus franciscanus,Strongylocentrotus droebachiensis,Eupentacta quinquesemita,Psolus chitonoides,Cryptochiton stelleri,Chlamys rubida,Trichotropis cancellata,Tonicella lineata,Acmaea mitra,Mopalia sp.,Dermasterias imbricata,Calliostoma ligatum,Chlamys hastata,Cadlina luteomarginata,Enteroctopus dofleini,Entodesma navicula,Neptunea sp.,Ceratostoma foliatum,Solaster stimpsoni,Cucumaria miniata,Crassadoma gigantea,Henricia spp.,Pagurus spp.,Apostichopus californicus,Leptasterias hexactis,Strongylocentrotus purpuratus,Diodora aspera
2022-06-01_Turn Rock_Subcanopy_0-5,6,32,7,4,4,1,0,2,2,0,2,2,4,1,0,2,0,1,1,0,0,0,1,0,0,0,0
2022-06-01_Turn Rock_Subcanopy_5-10,7,25,4,6,2,0,0,0,0,0,1,1,3,0,0,0,0,1,0,3,1,3,0,0,0,0,0
2022-06-01_Turn Rock_Subcanopy_10-15,10,23,1,5,2,3,0,0,1,0,2,4,7,0,0,0,0,3,0,3,1,3,0,1,0,0,0
2022-06-01_Turn Rock_Subcanopy_15-20,13,2,0,15,1,1,0,0,0,0,1,4,14,0,0,0,0,0,1,0,1,0,0,2,0,0,0
2022-06-01_Turn Rock_Subcanopy_20-25,6,19,0,7,2,0,2,0,0,0,0,2,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2022-06-01_Turn Rock_Subcanopy_25-30,10,23,0,24,2,1,0,2,0,1,0,1,16,0,1,0,2,0,0,14,0,7,2,0,0,0,0
2022-07-01_Turn Rock_Canopy_0-5,6,29,0,0,1,0,0,2,1,1,0,2,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0
2022-07-01_Turn Rock_Canopy_5-10,7,15,0,0,0,3,0,4,5,0,0,17,1,0,0,1,0,0,0,2,0,2,1,0,1,3,0
2022-07-01_Turn Rock_Canopy_10-15,0,26,0,0,0,0,1,0,2,0,0,11,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1
2022-07-01_Turn Rock_Canopy_15-20,2,19,0,1,0,1,4,0,0,0,0,9,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2022-07-01_Turn Rock_Canopy_20-25,1,9,0,0,0,2,4,0,1,0,0,5,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2022-07-01_Turn Rock_Canopy_25-30,5,23,0,0,0,3,0,1,0,0,0,7,1,0,0,1,0,0,0,2,0,2,1,0,0,0,0
2022-07-01_Turn Rock_Canopy_30-35,8,26,1,4,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,4,1,0,1,0,0,0,0
2022-07-01_Turn Rock_Canopy_35-40,6,7,1,0,1,0,0,1,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
